x-axis,1KHZ,3
second,Volt,Volt
-24.0000000E+00,+23.4111E-03,-0.0E+00
-23.9992500E+00,+23.7458E-03,+16.7364E-03
-23.9985000E+00,+23.7458E-03,+0.0E+00
-23.9977500E+00,+23.7458E-03,-33.4728E-03
-23.9970000E+00,+23.4111E-03,-0.0E+00
-23.9962500E+00,+23.7458E-03,+0.0E+00
-23.9955000E+00,+23.7458E-03,-33.4728E-03
-23.9947500E+00,+23.0764E-03,+33.4728E-03
-23.9940000E+00,+23.0764E-03,+16.7364E-03
-23.9932500E+00,+23.7458E-03,+0.0E+00
-23.9925000E+00,+24.4153E-03,-33.4728E-03
-23.9917500E+00,+23.7458E-03,-16.7364E-03
-23.9910000E+00,+23.0764E-03,-0.0E+00
-23.9902500E+00,+24.0805E-03,-16.7364E-03
-23.9895000E+00,+23.7458E-03,-0.0E+00
-23.9887500E+00,+24.0805E-03,+16.7364E-03
-23.9880000E+00,+24.0805E-03,+16.7364E-03
-23.9872500E+00,+24.4153E-03,+0.0E+00
-23.9865000E+00,+23.7458E-03,+33.4728E-03
-23.9857500E+00,+23.7458E-03,+0.0E+00
-23.9850000E+00,+23.0764E-03,-16.7364E-03
-23.9842500E+00,+23.7458E-03,+16.7364E-03
-23.9835000E+00,+23.4111E-03,-16.7364E-03
-23.9827500E+00,+23.7458E-03,+16.7364E-03
-23.9820000E+00,+23.4111E-03,+33.4728E-03
-23.9812500E+00,+25.4195E-03,-16.7364E-03
-23.9805000E+00,+23.4111E-03,-0.0E+00
-23.9797500E+00,+23.7458E-03,-16.7364E-03
-23.9790000E+00,+24.4153E-03,-16.7364E-03
-23.9782500E+00,+23.7458E-03,+16.7364E-03
-23.9775000E+00,+24.0805E-03,+0.0E+00
-23.9767500E+00,+23.7458E-03,+0.0E+00
-23.9760000E+00,+24.4153E-03,-16.7364E-03
-23.9752500E+00,+23.7458E-03,-16.7364E-03
-23.9745000E+00,+23.7458E-03,+33.4728E-03
-23.9737500E+00,+23.4111E-03,-16.7364E-03
-23.9730000E+00,+23.4111E-03,-0.0E+00
-23.9722500E+00,+23.4111E-03,+0.0E+00
