x-axis,1KHZ,3
second,Volt,Volt
-65.000000E-03,+8.195502E-03,-687.813828E-03
-64.997969E-03,+8.530230E-03,-687.813828E-03
-64.995939E-03,+7.526046E-03,-687.813828E-03
-64.993908E-03,+7.659937E-03,-687.813825E-03
-64.991878E-03,+7.659938E-03,-681.119274E-03
-64.989847E-03,+8.195502E-03,-694.508384E-03
-64.987817E-03,+7.659938E-03,-687.813828E-03
-64.985786E-03,+8.396339E-03,-687.813828E-03
-64.983756E-03,+8.128556E-03,-687.813835E-03
-64.981725E-03,+7.994665E-03,-694.508372E-03
-64.979695E-03,+7.860774E-03,-681.119276E-03
-64.977664E-03,+7.726884E-03,-687.813838E-03
-64.975634E-03,+8.262448E-03,-694.508377E-03
-64.973603E-03,+8.396338E-03,-687.813828E-03
-64.971573E-03,+7.994665E-03,-687.813828E-03
-64.969542E-03,+7.860775E-03,-687.813828E-03
-64.967512E-03,+8.396338E-03,-687.813828E-03
-64.965481E-03,+8.195500E-03,-687.813828E-03
-64.963451E-03,+7.392156E-03,-687.813811E-03
-64.961420E-03,+7.860774E-03,-681.119285E-03
-64.959390E-03,+7.994666E-03,-687.813809E-03
-64.957359E-03,+8.128555E-03,-681.119306E-03
-64.955329E-03,+7.659938E-03,-694.508389E-03
-64.953298E-03,+7.927721E-03,-694.508389E-03
-64.951268E-03,+8.262446E-03,-694.508389E-03
-64.949237E-03,+7.793830E-03,-694.508342E-03
-64.947206E-03,+8.128555E-03,-681.119291E-03
-64.945176E-03,+7.592991E-03,-687.813803E-03
-64.943145E-03,+7.392157E-03,-681.119267E-03
-64.941115E-03,+7.927720E-03,-681.119294E-03
-64.939084E-03,+8.128555E-03,-687.813828E-03
-64.937054E-03,+7.793828E-03,-687.813885E-03
-64.935023E-03,+7.659938E-03,-701.202920E-03
-64.932993E-03,+7.927720E-03,-694.508419E-03
-64.930962E-03,+7.994665E-03,-701.202918E-03
-64.928932E-03,+7.994666E-03,-694.508356E-03
-64.926901E-03,+8.061612E-03,-687.813794E-03
-64.924871E-03,+8.329390E-03,-681.119301E-03
-64.922840E-03,+7.726885E-03,-687.813828E-03
-64.920810E-03,+8.195500E-03,-687.813828E-03
-64.918779E-03,+7.726884E-03,-687.813828E-03
-64.916749E-03,+7.927720E-03,-687.813866E-03
-64.914718E-03,+8.061610E-03,-694.508350E-03
-64.912688E-03,+7.994663E-03,-687.813828E-03
-64.910657E-03,+7.659937E-03,-687.813828E-03
-64.908627E-03,+7.592992E-03,-687.813828E-03
-64.906596E-03,+7.659937E-03,-687.813871E-03
-64.904566E-03,+7.592994E-03,-694.508345E-03
-64.902535E-03,+7.994664E-03,-687.813783E-03
-64.900505E-03,+7.860772E-03,-681.119312E-03
-64.898474E-03,+7.526049E-03,-687.813921E-03
-64.896443E-03,+7.994667E-03,-701.202855E-03
-64.894413E-03,+8.262446E-03,-687.813828E-03
-64.892382E-03,+7.994661E-03,-687.813877E-03
-64.890352E-03,+7.392155E-03,-694.508338E-03
-64.888321E-03,+7.392160E-03,-687.813828E-03
-64.886291E-03,+8.128555E-03,-687.813828E-03
-64.884260E-03,+7.927721E-03,-687.813775E-03
-64.882230E-03,+8.061609E-03,-681.119375E-03
-64.880199E-03,+7.860773E-03,-694.508389E-03
-64.878169E-03,+7.726886E-03,-694.508444E-03
-64.876138E-03,+8.061609E-03,-701.202836E-03
-64.874108E-03,+7.860777E-03,-687.813885E-03
-64.872077E-03,+8.262448E-03,-694.508389E-03
-64.870047E-03,+8.262443E-03,-694.508389E-03
-64.868016E-03,+7.726883E-03,-694.508328E-03
-64.865986E-03,+7.793825E-03,-687.813889E-03
-64.863955E-03,+7.459102E-03,-694.508326E-03
-64.861925E-03,+7.659935E-03,-687.813891E-03
-64.859894E-03,+7.459107E-03,-694.508389E-03
-64.857864E-03,+8.128552E-03,-694.508259E-03
-64.855833E-03,+7.659937E-03,-681.119333E-03
-64.853803E-03,+7.659942E-03,-687.813828E-03
-64.851772E-03,+8.128550E-03,-687.813828E-03
-64.849741E-03,+7.459108E-03,-687.813965E-03
-64.847711E-03,+8.195504E-03,-701.202810E-03
-64.845680E-03,+8.396335E-03,-687.813969E-03
-64.843650E-03,+7.994662E-03,-701.202735E-03
-64.841619E-03,+7.726884E-03,-681.119412E-03
-64.839589E-03,+7.793826E-03,-694.508315E-03
-64.837558E-03,+7.592995E-03,-687.813902E-03
-64.835528E-03,+7.927716E-03,-694.508464E-03
-64.833497E-03,+7.593002E-03,-701.202873E-03
-64.831467E-03,+8.463284E-03,-694.508312E-03
-64.829436E-03,+8.463277E-03,-687.813984E-03
-64.827406E-03,+7.860771E-03,-701.202713E-03
-64.825375E-03,+7.593001E-03,-681.119427E-03
-64.823345E-03,+8.396332E-03,-694.508389E-03
-64.821314E-03,+7.793830E-03,-694.508470E-03
-64.819284E-03,+7.927720E-03,-701.202950E-03
-64.817253E-03,+7.927716E-03,-701.202782E-03
-64.815223E-03,+7.659941E-03,-687.813828E-03
-64.813192E-03,+7.927716E-03,-687.813913E-03
-64.811162E-03,+7.659939E-03,-694.508302E-03
-64.809131E-03,+7.793825E-03,-687.813828E-03
-64.807101E-03,+7.526050E-03,-687.813916E-03
-64.805070E-03,+7.860770E-03,-694.508389E-03
-64.803040E-03,+7.526052E-03,-694.508299E-03
-64.801009E-03,+7.994658E-03,-687.813919E-03
-64.798978E-03,+7.459101E-03,-694.508297E-03
-64.796948E-03,+7.526050E-03,-687.814014E-03
-64.794917E-03,+7.793825E-03,-701.202856E-03
-64.792887E-03,+7.526051E-03,-694.508389E-03
-64.790856E-03,+7.860776E-03,-694.508293E-03
-64.788826E-03,+7.994660E-03,-687.813924E-03
-64.786795E-03,+7.659937E-03,-694.508389E-03
-64.784765E-03,+7.659937E-03,-694.508389E-03
-64.782734E-03,+7.659940E-03,-694.508389E-03
-64.780704E-03,+7.860776E-03,-694.508288E-03
-64.778673E-03,+7.994662E-03,-687.813929E-03
-64.776643E-03,+7.793835E-03,-694.508491E-03
-64.774612E-03,+8.195500E-03,-701.202846E-03
-64.772582E-03,+8.061604E-03,-694.508389E-03
-64.770551E-03,+7.593005E-03,-694.508494E-03
-64.768521E-03,+8.463277E-03,-701.202844E-03
-64.766490E-03,+7.994656E-03,-694.508389E-03
-64.764460E-03,+7.392156E-03,-694.508496E-03
-64.762429E-03,+7.459105E-03,-701.202841E-03
-64.760399E-03,+7.726889E-03,-694.508389E-03
-64.758368E-03,+8.128554E-03,-694.508278E-03
-64.756338E-03,+7.994667E-03,-687.814051E-03
-64.754307E-03,+8.128559E-03,-701.202950E-03
-64.752277E-03,+8.262444E-03,-701.202836E-03
-64.750246E-03,+8.061615E-03,-694.508274E-03
-64.748215E-03,+8.329384E-03,-687.814058E-03
-64.746185E-03,+7.793819E-03,-701.202717E-03
-64.744154E-03,+7.258268E-03,-687.813945E-03
-64.742124E-03,+7.526057E-03,-694.508389E-03
-64.740093E-03,+8.128545E-03,-694.508270E-03
-64.738063E-03,+7.459100E-03,-687.813948E-03
-64.736032E-03,+7.459109E-03,-694.508268E-03
-64.734002E-03,+7.927715E-03,-687.814071E-03
-64.731971E-03,+7.659949E-03,-701.202704E-03
-64.729941E-03,+8.329371E-03,-687.813828E-03
-64.727910E-03,+7.124390E-03,-687.813828E-03
-64.725880E-03,+8.061608E-03,-687.814079E-03
-64.723849E-03,+7.927712E-03,-701.202823E-03
-64.721819E-03,+7.526059E-03,-694.508389E-03
-64.719788E-03,+8.195501E-03,-694.508517E-03
-64.717758E-03,+8.128546E-03,-701.202562E-03
-64.715727E-03,+7.592992E-03,-681.119527E-03
-64.713697E-03,+7.592999E-03,-694.508520E-03
-64.711666E-03,+7.994665E-03,-701.202686E-03
-64.709636E-03,+7.994671E-03,-687.814093E-03
-64.707605E-03,+8.262432E-03,-701.202816E-03
-64.705575E-03,+7.459100E-03,-694.508523E-03
-64.703544E-03,+7.459110E-03,-701.202950E-03
-64.701514E-03,+7.927711E-03,-701.202813E-03
-64.699483E-03,+7.526053E-03,-694.508389E-03
-64.697452E-03,+7.860764E-03,-694.508389E-03
-64.695422E-03,+7.392155E-03,-694.508528E-03
-64.693391E-03,+7.392155E-03,-701.202809E-03
-64.691361E-03,+7.392170E-03,-694.508530E-03
-64.689330E-03,+8.128561E-03,-701.202807E-03
-64.687300E-03,+8.329376E-03,-694.508246E-03
-64.685269E-03,+7.526043E-03,-687.814116E-03
-64.683239E-03,+7.392168E-03,-701.202950E-03
-64.681208E-03,+7.994674E-03,-701.202804E-03
-64.679178E-03,+8.396332E-03,-694.508535E-03
-64.677147E-03,+8.061599E-03,-701.202654E-03
-64.675117E-03,+7.526050E-03,-687.813976E-03
-64.673086E-03,+7.726887E-03,-694.508389E-03
-64.671056E-03,+7.927714E-03,-694.508539E-03
-64.669025E-03,+7.659945E-03,-701.202950E-03
-64.666995E-03,+7.994670E-03,-701.202950E-03
-64.664964E-03,+8.195485E-03,-701.202950E-03
-64.662934E-03,+7.459111E-03,-701.202795E-03
-64.660903E-03,+7.927709E-03,-694.508544E-03
-64.658873E-03,+7.459100E-03,-701.202950E-03
-64.656842E-03,+7.459099E-03,-701.202950E-03
-64.654812E-03,+7.392156E-03,-701.203265E-03
-64.652781E-03,+7.459104E-03,-714.591754E-03
-64.650751E-03,+7.593000E-03,-701.202950E-03
-64.648720E-03,+7.927704E-03,-701.202950E-03
-64.646689E-03,+7.258277E-03,-701.202950E-03
-64.644659E-03,+7.793822E-03,-701.203112E-03
-64.642628E-03,+7.526049E-03,-707.897347E-03
-64.640598E-03,+7.659942E-03,-701.202950E-03
-64.638567E-03,+7.860782E-03,-701.202784E-03
-64.636537E-03,+8.195480E-03,-694.508389E-03
-64.634506E-03,+7.325208E-03,-694.508723E-03
-64.632476E-03,+7.258269E-03,-707.897510E-03
-64.630445E-03,+7.459100E-03,-707.897172E-03
-64.628415E-03,+7.459106E-03,-694.508729E-03
-64.626384E-03,+7.659941E-03,-707.897339E-03
-64.624354E-03,+7.793847E-03,-701.202778E-03
-64.622323E-03,+8.530211E-03,-694.508561E-03
-64.620293E-03,+7.793834E-03,-701.203123E-03
-64.618262E-03,+7.994660E-03,-707.897336E-03
-64.616232E-03,+7.793818E-03,-701.202950E-03
-64.614201E-03,+7.392158E-03,-701.202950E-03
-64.612171E-03,+7.526050E-03,-701.202950E-03
-64.610140E-03,+7.659941E-03,-701.202950E-03
-64.608110E-03,+7.793827E-03,-701.202770E-03
-64.606079E-03,+7.726883E-03,-694.508569E-03
-64.604049E-03,+7.726883E-03,-701.202768E-03
-64.602018E-03,+7.726870E-03,-694.508571E-03
-64.599988E-03,+7.258273E-03,-701.202950E-03
-64.597957E-03,+7.592984E-03,-701.202950E-03
-64.595926E-03,+7.325215E-03,-701.202950E-03
-64.593896E-03,+7.526046E-03,-701.202950E-03
-64.591865E-03,+7.526044E-03,-701.203136E-03
-64.589835E-03,+7.459099E-03,-707.897135E-03
-64.587804E-03,+7.392153E-03,-694.508577E-03
-64.585774E-03,+7.325224E-03,-701.202950E-03
-64.583743E-03,+7.860755E-03,-701.203140E-03
-64.581713E-03,+7.191354E-03,-707.897510E-03
-64.579682E-03,+8.463254E-03,-707.897318E-03
-64.577652E-03,+7.392159E-03,-701.202950E-03
-64.575621E-03,+7.526044E-03,-701.202950E-03
-64.573591E-03,+7.459104E-03,-701.203340E-03
-64.571560E-03,+7.592994E-03,-714.591679E-03
-64.569530E-03,+7.659927E-03,-701.203146E-03
-64.567499E-03,+7.325227E-03,-707.897313E-03
-64.565469E-03,+7.927714E-03,-701.203148E-03
-64.563438E-03,+7.726875E-03,-707.897311E-03
-64.561408E-03,+7.459102E-03,-701.202950E-03
-64.559377E-03,+7.526068E-03,-701.202950E-03
-64.557347E-03,+8.262440E-03,-701.202950E-03
-64.555316E-03,+7.994677E-03,-701.203153E-03
-64.553286E-03,+8.396318E-03,-707.897306E-03
-64.551255E-03,+7.726887E-03,-701.203155E-03
-64.549224E-03,+7.860772E-03,-707.897510E-03
-64.547194E-03,+7.793824E-03,-707.897510E-03
-64.545163E-03,+7.659933E-03,-707.897510E-03
-64.543133E-03,+7.526061E-03,-707.897301E-03
-64.541102E-03,+7.994648E-03,-701.203159E-03
-64.539072E-03,+7.459109E-03,-707.897299E-03
-64.537041E-03,+7.726887E-03,-701.202738E-03
-64.535011E-03,+7.860751E-03,-694.508601E-03
-64.532980E-03,+7.124396E-03,-701.202950E-03
-64.530950E-03,+7.860742E-03,-701.203164E-03
-64.528919E-03,+6.856614E-03,-707.897510E-03
-64.526889E-03,+7.593000E-03,-707.897294E-03
-64.524858E-03,+7.860735E-03,-701.203167E-03
-64.522828E-03,+6.655786E-03,-707.897510E-03
-64.520797E-03,+7.659931E-03,-707.897510E-03
-64.518767E-03,+7.459100E-03,-707.897510E-03
-64.516736E-03,+7.459116E-03,-707.897289E-03
-64.514706E-03,+7.927715E-03,-701.202727E-03
-64.512675E-03,+7.793824E-03,-694.508835E-03
