x-axis,1KHZ,3
second,Volt,Volt
-163.00000E-03,,
-162.99000E-03,,
-162.98000E-03,+20.80125E-03,+16.43306E-03
-162.97000E-03,+21.13598E-03,+9.73849E-03
-162.96000E-03,+21.25105E-03,+11.83055E-03
-162.95000E-03,+21.66946E-03,+19.36193E-03
-162.94000E-03,+22.03556E-03,+19.36193E-03
-162.93000E-03,+21.43933E-03,+16.43306E-03
-162.92000E-03,+21.37657E-03,+12.66737E-03
-162.91000E-03,+21.36611E-03,+12.66737E-03
-162.90000E-03,+21.06276E-03,+15.59624E-03
-162.89000E-03,+21.15690E-03,+19.36193E-03
-162.88000E-03,+21.15690E-03,+13.50419E-03
-162.87000E-03,+21.37657E-03,+11.83055E-03
-162.86000E-03,+21.65899E-03,+19.36193E-03
-162.85000E-03,+21.87866E-03,+19.36193E-03
-162.84000E-03,+21.50209E-03,+19.36193E-03
-162.83000E-03,+20.94770E-03,+16.43306E-03
-162.82000E-03,+21.10460E-03,+15.59624E-03
-162.81000E-03,+21.26151E-03,+22.29080E-03
-162.80000E-03,+21.53347E-03,+23.12762E-03
-162.79000E-03,+21.59623E-03,+19.36193E-03
-162.78000E-03,+21.79498E-03,+19.36193E-03
-162.77000E-03,+21.83682E-03,+19.36193E-03
-162.76000E-03,+22.05648E-03,+16.43306E-03
-162.75000E-03,+21.41841E-03,+15.59624E-03
-162.74000E-03,+21.17782E-03,+16.43306E-03
-162.73000E-03,+21.28243E-03,+12.66737E-03
-162.72000E-03,+21.58577E-03,+12.66737E-03
-162.71000E-03,+21.56485E-03,+12.66737E-03
-162.70000E-03,+21.65899E-03,+18.52511E-03
-162.69000E-03,+21.73222E-03,+23.12762E-03
-162.68000E-03,+21.53347E-03,+13.50419E-03
-162.67000E-03,+21.52301E-03,+11.83055E-03
-162.66000E-03,+21.48117E-03,+19.36193E-03
-162.65000E-03,+21.18828E-03,+19.36193E-03
-162.64000E-03,+21.58577E-03,+19.36193E-03
-162.63000E-03,+21.41841E-03,+16.43306E-03
-162.62000E-03,+21.61715E-03,+12.66737E-03
-162.61000E-03,+21.77406E-03,+12.66737E-03
-162.60000E-03,+21.49163E-03,+12.66737E-03
-162.59000E-03,+21.27197E-03,+15.59624E-03
-162.58000E-03,+21.13598E-03,+16.43306E-03
-162.57000E-03,+21.17782E-03,+12.66737E-03
-162.56000E-03,+21.50209E-03,+12.66737E-03
-162.55000E-03,+21.57531E-03,+12.66737E-03
-162.54000E-03,+20.96862E-03,+12.66737E-03
-162.53000E-03,+21.59623E-03,+12.66737E-03
-162.52000E-03,+22.08787E-03,+12.66737E-03
-162.51000E-03,+21.99372E-03,+12.66737E-03
-162.50000E-03,+21.77406E-03,+12.66737E-03
-162.49000E-03,+21.63807E-03,+12.66737E-03
-162.48000E-03,+21.67992E-03,+15.59624E-03
-162.47000E-03,+21.71130E-03,+19.36193E-03
-162.46000E-03,+21.62761E-03,+19.36193E-03
-162.45000E-03,+21.08368E-03,+13.50419E-03
-162.44000E-03,+20.98954E-03,+11.83055E-03
-162.43000E-03,+21.42887E-03,+19.36193E-03
-162.42000E-03,+21.77406E-03,+16.43306E-03
-162.41000E-03,+21.71130E-03,+9.73849E-03
-162.40000E-03,+21.84728E-03,+14.75942E-03
-162.39000E-03,+21.43933E-03,+17.26988E-03
-162.38000E-03,+21.15690E-03,+14.75942E-03
-162.37000E-03,+21.52301E-03,+20.19875E-03
-162.36000E-03,+21.77406E-03,+15.59624E-03
-162.35000E-03,+21.19874E-03,+19.36193E-03
-162.34000E-03,+20.89540E-03,+19.36193E-03
-162.33000E-03,+21.35565E-03,+13.50419E-03
-162.32000E-03,+21.75314E-03,+8.90167E-03
-162.31000E-03,+21.58577E-03,+15.59624E-03
-162.30000E-03,+21.41841E-03,+16.43306E-03
