x-axis,1KHZ,3
second,Volt,Volt
-4.91500000E+00,+24.05231E-03,+507.11E-06
-4.91492500E+00,+23.82923E-03,+28.39505E-03
-4.91485000E+00,+23.55026E-03,+11.66774E-03
-4.91477500E+00,+23.49446E-03,+6.08288E-03
-4.91470000E+00,+23.49446E-03,+22.81928E-03
-4.91462500E+00,+24.05226E-03,+6.08742E-03
-4.91455000E+00,+24.55440E-03,+6.08288E-03
-4.91447500E+00,+23.99664E-03,+11.66319E-03
-4.91440000E+00,+23.77338E-03,+22.81928E-03
-4.91432500E+00,+23.60606E-03,-16.22475E-03
-4.91425000E+00,+23.04821E-03,-5.07776E-03
-4.91417500E+00,+23.04812E-03,+22.81928E-03
-4.91410000E+00,+23.49441E-03,+6.08742E-03
-4.91402499E+00,+23.32714E-03,+6.08288E-03
-4.91394999E+00,+23.38285E-03,+11.66319E-03
-4.91387499E+00,+23.49446E-03,+11.66319E-03
-4.91379999E+00,+23.38290E-03,+507.11E-06
-4.91372499E+00,+23.55021E-03,-5.07321E-03
-4.91364999E+00,+23.21558E-03,+28.39505E-03
-4.91357499E+00,+23.10393E-03,+22.82382E-03
-4.91349999E+00,+22.93661E-03,+507.11E-06
-4.91342499E+00,+23.38281E-03,-5.07321E-03
-4.91334999E+00,+23.55026E-03,-5.07321E-03
-4.91327499E+00,+23.60602E-03,+28.39505E-03
-4.91319999E+00,+22.99246E-03,+11.66774E-03
-4.91312499E+00,+23.21544E-03,+17.23896E-03
-4.91304999E+00,+23.60602E-03,+6.08742E-03
-4.91297499E+00,+23.55026E-03,+6.08288E-03
-4.91289999E+00,+23.71758E-03,+22.81928E-03
-4.91282499E+00,+23.27138E-03,+17.24351E-03
-4.91274999E+00,+23.10393E-03,+22.81928E-03
-4.91267499E+00,+23.60597E-03,+17.24351E-03
-4.91259999E+00,+23.38294E-03,+22.81928E-03
-4.91252499E+00,+23.15973E-03,+28.39959E-03
-4.91244999E+00,+23.04817E-03,+28.39959E-03
-4.91237499E+00,+23.32705E-03,+39.55568E-03
-4.91229999E+00,+23.04821E-03,+11.66774E-03
-4.91222498E+00,+23.27124E-03,+6.08288E-03
-4.91214998E+00,+23.49446E-03,+11.66319E-03
-4.91207498E+00,+23.27134E-03,+33.97536E-03
-4.91199998E+00,+23.38285E-03,+11.66773E-03
-4.91192498E+00,+23.15977E-03,+6.08288E-03
-4.91184998E+00,+23.21549E-03,+11.66319E-03
-4.91177498E+00,+23.43865E-03,+22.81928E-03
-4.91169998E+00,+23.71758E-03,+17.24351E-03
-4.91162498E+00,+24.05231E-03,-10.64898E-03
-4.91154998E+00,+23.82923E-03,-10.65353E-03
-4.91147498E+00,+23.21558E-03,+6.08288E-03
-4.91139998E+00,+23.32705E-03,-21.80507E-03
-4.91132498E+00,+23.27134E-03,-16.23384E-03
-4.91124998E+00,+23.15973E-03,-5.07321E-03
-4.91117498E+00,+22.82505E-03,+6.08288E-03
-4.91109998E+00,+22.76920E-03,-32.96116E-03
-4.91102498E+00,+22.93656E-03,-21.81415E-03
-4.91094998E+00,+22.43456E-03,-5.07321E-03
-4.91087498E+00,+22.82491E-03,+17.23896E-03
-4.91079998E+00,+23.60597E-03,+28.39959E-03
-4.91072498E+00,+23.04826E-03,+17.24351E-03
-4.91064998E+00,+22.54608E-03,+507.10E-06
-4.91057498E+00,+22.26715E-03,+6.08288E-03
-4.91049998E+00,+22.93647E-03,+11.66319E-03
-4.91042498E+00,+23.66178E-03,+22.81928E-03
-4.91034997E+00,+23.27138E-03,+28.39959E-03
-4.91027497E+00,+23.43861E-03,-5.06867E-03
-4.91019997E+00,+23.10402E-03,+502.56E-06
-4.91012497E+00,+23.04812E-03,+22.81928E-03
-4.91004997E+00,+23.04817E-03,+17.24351E-03
-4.90997497E+00,+23.43861E-03,+11.66319E-03
