x-axis,1KHZ,3
second,Volt,Volt
-41.500000E-03,+33.842573E-03,+354.225948E-03
-41.498713E-03,+34.009937E-03,+354.225948E-03
-41.497427E-03,+33.340481E-03,+354.225948E-03
-41.496140E-03,+34.177301E-03,+354.225947E-03
-41.494854E-03,+33.340481E-03,+347.531389E-03
-41.493567E-03,+33.340481E-03,+354.225950E-03
-41.492281E-03,+33.340481E-03,+360.920509E-03
-41.490994E-03,+34.177300E-03,+360.920509E-03
-41.489708E-03,+33.005753E-03,+360.920509E-03
-41.488421E-03,+33.842573E-03,+360.920506E-03
-41.487135E-03,+33.842573E-03,+354.225952E-03
-41.485848E-03,+34.009936E-03,+360.920509E-03
-41.484562E-03,+33.507845E-03,+360.920505E-03
-41.483275E-03,+34.009936E-03,+354.225953E-03
-41.481989E-03,+33.507844E-03,+360.920515E-03
-41.480702E-03,+33.173117E-03,+367.615059E-03
-41.479416E-03,+33.675209E-03,+354.225955E-03
-41.478129E-03,+33.507845E-03,+360.920509E-03
-41.476843E-03,+33.842573E-03,+360.920502E-03
-41.475556E-03,+34.344664E-03,+354.225963E-03
-41.474270E-03,+33.340480E-03,+367.615055E-03
-41.472983E-03,+33.005754E-03,+354.225956E-03
-41.471697E-03,+34.009936E-03,+360.920501E-03
-41.470410E-03,+33.173117E-03,+354.225948E-03
-41.469124E-03,+33.507845E-03,+354.225939E-03
-41.467837E-03,+34.009936E-03,+347.531407E-03
-41.466551E-03,+33.675208E-03,+360.920509E-03
-41.465264E-03,+33.507845E-03,+360.920509E-03
-41.463978E-03,+33.675207E-03,+360.920509E-03
-41.462691E-03,+32.838390E-03,+360.920509E-03
-41.461405E-03,+33.507844E-03,+360.920498E-03
-41.460118E-03,+33.340481E-03,+354.225937E-03
-41.458832E-03,+33.675209E-03,+347.531400E-03
-41.457545E-03,+33.842572E-03,+354.225974E-03
-41.456259E-03,+33.675208E-03,+367.615057E-03
-41.454972E-03,+33.340481E-03,+360.920509E-03
-41.453686E-03,+33.507845E-03,+360.920509E-03
-41.452399E-03,+33.507844E-03,+360.920495E-03
-41.451113E-03,+33.005753E-03,+354.225948E-03
-41.449826E-03,+33.005754E-03,+354.225948E-03
-41.448540E-03,+33.507845E-03,+354.225948E-03
-41.447253E-03,+33.842573E-03,+354.225948E-03
-41.445967E-03,+34.009935E-03,+354.225932E-03
-41.444680E-03,+33.173115E-03,+347.531404E-03
-41.443394E-03,+32.671027E-03,+354.225965E-03
-41.442107E-03,+33.507845E-03,+360.920492E-03
-41.440821E-03,+33.675205E-03,+354.225948E-03
-41.439534E-03,+32.336302E-03,+354.225948E-03
-41.438248E-03,+34.512026E-03,+354.225948E-03
-41.436961E-03,+33.340479E-03,+354.225948E-03
-41.435675E-03,+32.838390E-03,+354.225948E-03
-41.434388E-03,+33.340480E-03,+354.225968E-03
-41.433102E-03,+33.005752E-03,+360.920529E-03
-41.431815E-03,+32.838392E-03,+367.615030E-03
-41.430529E-03,+34.009936E-03,+354.225969E-03
-41.429242E-03,+33.675209E-03,+360.920488E-03
-41.427956E-03,+33.675209E-03,+354.226012E-03
-41.426669E-03,+33.675211E-03,+374.309566E-03
-41.425383E-03,+34.344660E-03,+354.225993E-03
-41.424096E-03,+33.005753E-03,+367.615048E-03
-41.422810E-03,+33.005755E-03,+360.920487E-03
-41.421523E-03,+33.842571E-03,+354.225925E-03
-41.420237E-03,+33.340481E-03,+347.531411E-03
-41.418950E-03,+33.507845E-03,+354.225972E-03
-41.417664E-03,+33.507845E-03,+360.920509E-03
-41.416377E-03,+33.675208E-03,+360.920509E-03
-41.415091E-03,+33.507843E-03,+360.920509E-03
-41.413804E-03,+33.173115E-03,+360.920509E-03
-41.412518E-03,+32.838391E-03,+360.920509E-03
-41.411231E-03,+33.340482E-03,+360.920483E-03
-41.409945E-03,+33.675207E-03,+354.225975E-03
-41.408658E-03,+33.340480E-03,+360.920509E-03
-41.407372E-03,+33.173118E-03,+360.920537E-03
-41.406085E-03,+33.507846E-03,+367.615042E-03
-41.404799E-03,+33.842571E-03,+360.920509E-03
-41.403512E-03,+33.507846E-03,+360.920538E-03
-41.402226E-03,+33.842572E-03,+367.614984E-03
-41.400939E-03,+33.675206E-03,+347.531446E-03
-41.399653E-03,+33.005754E-03,+360.920509E-03
-41.398366E-03,+33.340482E-03,+360.920509E-03
-41.397080E-03,+33.675207E-03,+360.920509E-03
-41.395793E-03,+33.340478E-03,+360.920509E-03
-41.394507E-03,+32.671026E-03,+360.920509E-03
-41.393220E-03,+33.005751E-03,+360.920509E-03
-41.391934E-03,+32.671029E-03,+360.920509E-03
-41.390647E-03,+33.507841E-03,+360.920509E-03
-41.389361E-03,+32.838389E-03,+360.920509E-03
-41.388074E-03,+32.838389E-03,+360.920509E-03
-41.386788E-03,+33.005753E-03,+360.920509E-03
-41.385501E-03,+33.005755E-03,+360.920476E-03
-41.384215E-03,+33.507842E-03,+354.225948E-03
-41.382928E-03,+33.005755E-03,+354.226052E-03
-41.381642E-03,+33.507839E-03,+374.309561E-03
-41.380355E-03,+32.503661E-03,+360.920509E-03
-41.379069E-03,+32.671032E-03,+360.920509E-03
-41.377782E-03,+34.009933E-03,+360.920509E-03
-41.376496E-03,+33.340480E-03,+360.920473E-03
-41.375209E-03,+33.173117E-03,+354.225985E-03
-41.373923E-03,+33.173116E-03,+360.920509E-03
-41.372636E-03,+33.005754E-03,+360.920509E-03
-41.371350E-03,+33.173119E-03,+360.920509E-03
-41.370063E-03,+33.507845E-03,+360.920509E-03
-41.368777E-03,+33.507839E-03,+360.920548E-03
-41.367490E-03,+32.503661E-03,+367.614992E-03
-41.366204E-03,+32.503663E-03,+354.226027E-03
-41.364917E-03,+33.005756E-03,+367.615030E-03
-41.363631E-03,+33.507847E-03,+360.920550E-03
-41.362344E-03,+33.842568E-03,+367.614989E-03
-41.361058E-03,+33.005753E-03,+354.225989E-03
-41.359771E-03,+33.005752E-03,+360.920509E-03
-41.358485E-03,+32.838393E-03,+360.920509E-03
-41.357198E-03,+33.507840E-03,+360.920509E-03
-41.355912E-03,+32.838384E-03,+360.920467E-03
-41.354625E-03,+32.168938E-03,+354.225948E-03
-41.353339E-03,+33.005750E-03,+354.225992E-03
-41.352052E-03,+32.671032E-03,+360.920509E-03
-41.350766E-03,+33.842571E-03,+360.920465E-03
-41.349479E-03,+33.507840E-03,+354.225948E-03
-41.348193E-03,+32.838392E-03,+354.225904E-03
-41.346906E-03,+33.340478E-03,+347.531478E-03
-41.345620E-03,+33.005755E-03,+360.920509E-03
-41.344333E-03,+33.340479E-03,+360.920463E-03
-41.343047E-03,+33.173119E-03,+354.226041E-03
-41.341760E-03,+33.507838E-03,+367.615023E-03
-41.340474E-03,+32.503663E-03,+360.920509E-03
-41.339187E-03,+32.838386E-03,+360.920509E-03
-41.337901E-03,+32.503667E-03,+360.920461E-03
-41.336614E-03,+33.340479E-03,+354.225900E-03
-41.335328E-03,+33.173117E-03,+347.531533E-03
-41.334041E-03,+33.173117E-03,+367.614972E-03
-41.332755E-03,+33.173119E-03,+354.225899E-03
-41.331468E-03,+33.507840E-03,+347.531487E-03
-41.330182E-03,+32.838385E-03,+360.920559E-03
-41.328895E-03,+32.336300E-03,+367.615020E-03
-41.327609E-03,+32.838385E-03,+360.920458E-03
-41.326322E-03,+32.336302E-03,+354.226000E-03
-41.325036E-03,+33.005753E-03,+360.920509E-03
-41.323749E-03,+33.005750E-03,+360.920457E-03
-41.322463E-03,+32.671031E-03,+354.226001E-03
-41.321176E-03,+33.507841E-03,+360.920509E-03
-41.319890E-03,+33.005758E-03,+360.920509E-03
-41.318603E-03,+33.675209E-03,+360.920563E-03
-41.317317E-03,+33.675203E-03,+367.615016E-03
-41.316030E-03,+33.005750E-03,+360.920564E-03
-41.314744E-03,+32.671025E-03,+367.615015E-03
-41.313457E-03,+32.671022E-03,+360.920564E-03
-41.312171E-03,+32.336305E-03,+367.615015E-03
-41.310884E-03,+33.340478E-03,+360.920565E-03
-41.309598E-03,+33.005750E-03,+367.615014E-03
-41.308311E-03,+32.671026E-03,+360.920453E-03
-41.307025E-03,+32.838393E-03,+354.226005E-03
-41.305738E-03,+33.340481E-03,+360.920509E-03
-41.304452E-03,+33.340479E-03,+360.920567E-03
-41.303165E-03,+33.173114E-03,+367.614954E-03
-41.301879E-03,+32.838394E-03,+354.226007E-03
-41.300592E-03,+33.507846E-03,+360.920568E-03
-41.299306E-03,+33.675204E-03,+367.615011E-03
-41.298019E-03,+33.173109E-03,+360.920450E-03
-41.296733E-03,+32.336304E-03,+354.226008E-03
-41.295446E-03,+33.173111E-03,+360.920630E-03
-41.294160E-03,+32.503670E-03,+374.309388E-03
-41.292873E-03,+33.507829E-03,+347.531510E-03
-41.291587E-03,+31.834209E-03,+360.920509E-03
-41.290300E-03,+32.336300E-03,+360.920633E-03
-41.289014E-03,+32.671023E-03,+374.309506E-03
-41.287727E-03,+32.503667E-03,+360.920572E-03
-41.286441E-03,+33.173106E-03,+367.615070E-03
-41.285154E-03,+32.001576E-03,+367.615070E-03
-41.283868E-03,+32.838387E-03,+367.615006E-03
-41.282581E-03,+32.671029E-03,+360.920574E-03
-41.281295E-03,+33.173117E-03,+367.615070E-03
-41.280008E-03,+33.173112E-03,+367.615005E-03
-41.278722E-03,+32.671033E-03,+360.920509E-03
-41.277435E-03,+33.507830E-03,+360.920575E-03
-41.276149E-03,+32.001577E-03,+367.615070E-03
-41.274862E-03,+32.838385E-03,+367.615004E-03
-41.273576E-03,+32.503662E-03,+360.920509E-03
-41.272289E-03,+32.671026E-03,+360.920509E-03
-41.271003E-03,+32.838395E-03,+360.920577E-03
-41.269716E-03,+33.507828E-03,+367.615002E-03
-41.268430E-03,+31.834216E-03,+360.920578E-03
-41.267143E-03,+33.005746E-03,+367.614864E-03
-41.265857E-03,+32.336297E-03,+347.531526E-03
-41.264570E-03,+32.336302E-03,+360.920579E-03
-41.263284E-03,+32.838383E-03,+367.614930E-03
-41.261997E-03,+32.336300E-03,+354.226089E-03
-41.260711E-03,+32.671025E-03,+367.615000E-03
-41.259424E-03,+32.671030E-03,+360.920580E-03
-41.258138E-03,+33.173113E-03,+367.615070E-03
-41.256851E-03,+32.838380E-03,+367.614998E-03
-41.255565E-03,+32.001568E-03,+360.920509E-03
-41.254278E-03,+32.001578E-03,+360.920654E-03
-41.252992E-03,+32.838390E-03,+374.309558E-03
-41.251705E-03,+33.005751E-03,+367.614997E-03
-41.250419E-03,+32.838381E-03,+360.920362E-03
-41.249132E-03,+32.168938E-03,+347.531610E-03
-41.247845E-03,+32.671023E-03,+367.615070E-03
-41.246559E-03,+32.503655E-03,+367.614995E-03
-41.245272E-03,+32.001572E-03,+360.920434E-03
-41.243986E-03,+32.336306E-03,+354.226100E-03
-41.242699E-03,+33.173103E-03,+367.614994E-03
-41.241413E-03,+32.001576E-03,+360.920586E-03
-41.240126E-03,+32.671019E-03,+367.614993E-03
-41.238840E-03,+32.168946E-03,+360.920586E-03
-41.237553E-03,+33.340475E-03,+367.614993E-03
-41.236267E-03,+32.838387E-03,+360.920587E-03
-41.234980E-03,+32.671028E-03,+367.615070E-03
-41.233694E-03,+33.005749E-03,+367.615070E-03
-41.232407E-03,+32.671013E-03,+367.615070E-03
-41.231121E-03,+31.666854E-03,+367.614832E-03
-41.229834E-03,+32.838391E-03,+347.531467E-03
-41.228548E-03,+33.005743E-03,+354.226029E-03
-41.227261E-03,+32.168939E-03,+360.920509E-03
-41.225975E-03,+32.671021E-03,+360.920509E-03
-41.224688E-03,+32.336307E-03,+360.920509E-03
-41.223402E-03,+33.173108E-03,+360.920428E-03
-41.222115E-03,+32.503661E-03,+354.225948E-03
-41.220829E-03,+32.503661E-03,+354.226031E-03
-41.219542E-03,+32.503661E-03,+360.920592E-03
-41.218256E-03,+32.503652E-03,+367.614987E-03
-41.216969E-03,+31.834215E-03,+360.920509E-03
-41.215683E-03,+32.671027E-03,+360.920593E-03
-41.214396E-03,+32.838386E-03,+367.614986E-03
-41.213110E-03,+32.671016E-03,+360.920679E-03
-41.211823E-03,+32.001566E-03,+374.309546E-03
-41.210537E-03,+31.834213E-03,+367.614985E-03
-41.209250E-03,+32.503669E-03,+360.920595E-03
-41.207964E-03,+33.173110E-03,+367.615070E-03
-41.206677E-03,+32.671022E-03,+367.614984E-03
-41.205391E-03,+32.503661E-03,+360.920509E-03
-41.204104E-03,+32.503656E-03,+360.920509E-03
-41.202818E-03,+32.168932E-03,+360.920685E-03
-41.201531E-03,+32.168930E-03,+374.309455E-03
-41.200245E-03,+32.001568E-03,+360.920509E-03
-41.198958E-03,+32.001564E-03,+360.920598E-03
-41.197672E-03,+31.666849E-03,+367.614981E-03
-41.196385E-03,+32.336292E-03,+360.920599E-03
-41.195099E-03,+32.001571E-03,+367.615070E-03
-41.193812E-03,+32.168926E-03,+367.615070E-03
-41.192526E-03,+31.666840E-03,+367.615070E-03
-41.191239E-03,+31.666840E-03,+367.614979E-03
-41.189953E-03,+31.666840E-03,+360.920692E-03
-41.188666E-03,+31.666843E-03,+374.309447E-03
-41.187380E-03,+31.834209E-03,+360.920694E-03
-41.186093E-03,+32.168939E-03,+374.309538E-03
-41.184807E-03,+32.671025E-03,+367.615070E-03
-41.183520E-03,+32.671025E-03,+367.615070E-03
-41.182234E-03,+32.671008E-03,+367.615070E-03
-41.180947E-03,+31.499486E-03,+367.615164E-03
-41.179661E-03,+32.168937E-03,+374.309442E-03
-41.178374E-03,+32.503658E-03,+360.920604E-03
-41.177088E-03,+32.336285E-03,+367.615070E-03
-41.175801E-03,+31.499481E-03,+367.615070E-03
-41.174515E-03,+31.834207E-03,+367.614974E-03
-41.173228E-03,+32.001578E-03,+360.920509E-03
-41.171942E-03,+32.671008E-03,+360.920509E-03
-41.170655E-03,+31.499486E-03,+360.920607E-03
-41.169369E-03,+32.168932E-03,+367.615070E-03
-41.168082E-03,+32.168932E-03,+367.615168E-03
-41.166796E-03,+32.168930E-03,+374.309631E-03
-41.165509E-03,+32.001566E-03,+374.309532E-03
-41.164223E-03,+31.834212E-03,+367.615070E-03
-41.162936E-03,+32.336297E-03,+367.614971E-03
-41.161650E-03,+32.336294E-03,+360.920609E-03
-41.160363E-03,+32.168938E-03,+367.614970E-03
-41.159077E-03,+32.503643E-03,+360.920509E-03
-41.157790E-03,+31.332125E-03,+360.920509E-03
-41.156504E-03,+32.168935E-03,+360.920509E-03
-41.155217E-03,+32.336304E-03,+360.920713E-03
-41.153931E-03,+32.838376E-03,+374.309427E-03
-41.152644E-03,+32.001576E-03,+360.920612E-03
-41.151358E-03,+32.503635E-03,+367.615070E-03
-41.150071E-03,+30.830056E-03,+367.615070E-03
-41.148785E-03,+33.173098E-03,+367.615174E-03
-41.147498E-03,+32.001576E-03,+374.309527E-03
-41.146212E-03,+32.503634E-03,+367.615070E-03
-41.144925E-03,+30.830031E-03,+367.614965E-03
-41.143639E-03,+31.499484E-03,+360.920720E-03
-41.142352E-03,+32.001576E-03,+374.309525E-03
-41.141066E-03,+32.503650E-03,+367.615176E-03
-41.139779E-03,+31.834220E-03,+374.309525E-03
-41.138493E-03,+32.838394E-03,+367.614963E-03
-41.137206E-03,+33.173106E-03,+360.920724E-03
-41.135920E-03,+32.503655E-03,+374.309416E-03
-41.134633E-03,+32.168927E-03,+360.920617E-03
-41.133347E-03,+31.834207E-03,+367.614962E-03
-41.132060E-03,+32.001560E-03,+360.920618E-03
-41.130774E-03,+31.499495E-03,+367.615179E-03
-41.129487E-03,+32.671011E-03,+374.309631E-03
-41.128201E-03,+31.834207E-03,+374.309411E-03
-41.126914E-03,+32.001568E-03,+360.920619E-03
-41.125628E-03,+32.001544E-03,+367.615070E-03
-41.124341E-03,+30.495317E-03,+367.614959E-03
-41.123055E-03,+32.001568E-03,+360.920621E-03
-41.121768E-03,+32.001549E-03,+367.614959E-03
-41.120482E-03,+30.830046E-03,+360.920509E-03
-41.119195E-03,+32.336282E-03,+360.920509E-03
-41.117909E-03,+31.499491E-03,+360.920509E-03
-41.116622E-03,+32.336288E-03,+360.920509E-03
-41.115336E-03,+31.834213E-03,+360.920396E-03
-41.114049E-03,+32.336274E-03,+354.226176E-03
-41.112763E-03,+30.997407E-03,+367.615070E-03
-41.111476E-03,+32.336297E-03,+367.614955E-03
-41.110190E-03,+32.336291E-03,+360.920624E-03
-41.108903E-03,+32.001566E-03,+367.614955E-03
-41.107617E-03,+31.834210E-03,+360.920509E-03
-41.106330E-03,+32.168938E-03,+360.920509E-03
-41.105044E-03,+32.503649E-03,+360.920626E-03
-41.103757E-03,+31.834207E-03,+367.614953E-03
-41.102471E-03,+32.001568E-03,+360.920509E-03
-41.101184E-03,+32.001557E-03,+360.920392E-03
-41.099898E-03,+31.332133E-03,+354.226185E-03
-41.098611E-03,+32.503649E-03,+367.614952E-03
-41.097325E-03,+31.834204E-03,+360.920747E-03
