x-axis,1KHZ,3
second,Volt,Volt
-45.000000E+00,+8.995E-03,+33.473E-03
-44.998600E+00,+8.995E-03,+33.473E-03
-44.997200E+00,+9.162E-03,-0.0E+00
-44.995800E+00,+8.660E-03,-16.736E-03
-44.994400E+00,+9.665E-03,+33.473E-03
-44.993000E+00,+8.660E-03,+0.0E+00
-44.991600E+00,+9.330E-03,+33.473E-03
-44.990200E+00,+8.995E-03,+16.736E-03
-44.988800E+00,+9.162E-03,+33.473E-03
-44.987400E+00,+9.999E-03,+33.473E-03
-44.986000E+00,+8.158E-03,+16.736E-03
-44.984600E+00,+9.330E-03,+16.736E-03
-44.983200E+00,+8.828E-03,-16.736E-03
-44.981800E+00,+8.828E-03,-16.736E-03
-44.980400E+00,+9.162E-03,-16.736E-03
-44.979000E+00,+9.330E-03,+33.473E-03
-44.977600E+00,+8.995E-03,+0.0E+00
-44.976200E+00,+9.497E-03,+16.736E-03
-44.974800E+00,+8.493E-03,+0.0E+00
-44.973400E+00,+8.995E-03,+0.0E+00
-44.972000E+00,+8.995E-03,+0.0E+00
-44.970600E+00,+8.995E-03,+16.736E-03
-44.969200E+00,+8.995E-03,+33.473E-03
-44.967800E+00,+9.330E-03,+0.0E+00
-44.966400E+00,+7.824E-03,+16.736E-03
-44.965000E+00,+9.162E-03,-16.736E-03
-44.963600E+00,+8.493E-03,+16.736E-03
-44.962200E+00,+9.497E-03,+16.736E-03
-44.960800E+00,+9.999E-03,-16.736E-03
-44.959400E+00,+8.995E-03,-16.736E-03
-44.958000E+00,+9.162E-03,+0.0E+00
-44.956600E+00,+8.493E-03,+16.736E-03
-44.955200E+00,+9.497E-03,+0.0E+00
-44.953799E+00,+8.828E-03,+16.736E-03
-44.952399E+00,+8.995E-03,+33.473E-03
-44.950999E+00,+8.493E-03,+0.0E+00
-44.949599E+00,+9.162E-03,+0.0E+00
-44.948199E+00,+8.660E-03,+16.736E-03
-44.946799E+00,+8.660E-03,+16.736E-03
-44.945399E+00,+8.995E-03,-16.736E-03
-44.943999E+00,+8.995E-03,+16.736E-03
-44.942599E+00,+9.497E-03,+0.0E+00
-44.941199E+00,+9.832E-03,+33.473E-03
-44.939799E+00,+8.326E-03,+33.473E-03
-44.938399E+00,+9.330E-03,-16.736E-03
-44.936999E+00,+9.330E-03,-16.736E-03
-44.935599E+00,+9.162E-03,+16.736E-03
-44.934199E+00,+8.995E-03,-16.736E-03
-44.932799E+00,+9.330E-03,-16.736E-03
-44.931399E+00,+8.828E-03,-16.736E-03
-44.929999E+00,+10.334E-03,-16.736E-03
-44.928599E+00,+9.497E-03,+16.736E-03
-44.927199E+00,+9.330E-03,+16.736E-03
-44.925799E+00,+8.995E-03,-16.736E-03
-44.924399E+00,+8.660E-03,+0.0E+00
-44.922999E+00,+9.330E-03,-0.0E+00
-44.921599E+00,+9.162E-03,-33.473E-03
-44.920199E+00,+9.665E-03,-0.0E+00
-44.918799E+00,+8.995E-03,-16.736E-03
-44.917399E+00,+8.158E-03,-33.473E-03
-44.915999E+00,+9.330E-03,+16.736E-03
-44.914599E+00,+9.162E-03,+16.736E-03
-44.913199E+00,+8.995E-03,+33.473E-03
-44.911799E+00,+8.995E-03,-0.0E+00
-44.910399E+00,+8.995E-03,-16.736E-03
-44.908999E+00,+9.162E-03,+33.473E-03
-44.907599E+00,+9.330E-03,+0.0E+00
-44.906199E+00,+8.828E-03,-0.0E+00
-44.904799E+00,+9.497E-03,-16.736E-03
-44.903399E+00,+8.326E-03,+0.0E+00
-44.901999E+00,+9.162E-03,+0.0E+00
-44.900599E+00,+9.497E-03,+16.736E-03
-44.899199E+00,+8.493E-03,+16.736E-03
-44.897799E+00,+8.660E-03,-16.736E-03
-44.896399E+00,+8.828E-03,-50.209E-03
-44.894999E+00,+9.665E-03,-16.736E-03
-44.893599E+00,+8.660E-03,-0.0E+00
-44.892199E+00,+8.660E-03,-33.473E-03
-44.890799E+00,+9.497E-03,-33.473E-03
-44.889399E+00,+8.660E-03,+16.736E-03
-44.887999E+00,+9.162E-03,+16.736E-03
-44.886599E+00,+8.995E-03,+16.736E-03
-44.885199E+00,+9.665E-03,-16.736E-03
-44.883799E+00,+9.330E-03,+16.736E-03
-44.882399E+00,+9.665E-03,+16.736E-03
-44.880999E+00,+8.828E-03,-0.0E+00
