x-axis,1KHZ,2,3
-4.5900000E+00,,,
-4.5898500E+00,,,
-4.5897000E+00,,,
-4.5895500E+00,,,
-4.5894000E+00,,,
-4.5892500E+00,,,
-4.5891000E+00,,,
-4.5889500E+00,,,
-4.5888000E+00,,,
-4.5886500E+00,,,
-4.5885000E+00,,,
-4.5883500E+00,,,
-4.5882000E+00,,,
-4.5880500E+00,,,
-4.5879000E+00,,,
-4.5877500E+00,,,
-4.5876000E+00,,,
-4.5874500E+00,,,
-4.5873000E+00,,,
-4.5871500E+00,,,
-4.5870000E+00,,,
-4.5868500E+00,,,
-4.5867000E+00,,,
-4.5865500E+00,,,
-4.5864000E+00,,,
-4.5862500E+00,,,
-4.5861000E+00,,,
-4.5859500E+00,,,
-4.5858000E+00,,,
-4.5856500E+00,+2.7446538E+00,+621.5559E-03,+766.8842E-03
-4.5855000E+00,+2.7279174E+00,+604.4847E-03,+599.5202E-03
-4.5853500E+00,+2.7251307E+00,+615.8709E-03,+850.6458E-03
-4.5852000E+00,+2.7251307E+00,+618.7134E-03,+766.8842E-03
-4.5850500E+00,+2.7111810E+00,+590.2561E-03,+599.5202E-03
-4.5849000E+00,+2.7502432E+00,+627.2571E-03,+711.1492E-03
-4.5847500E+00,+2.7446538E+00,+635.7845E-03,+878.5133E-03
-4.5846000E+00,+2.7279174E+00,+635.7845E-03,+766.8842E-03
-4.5844500E+00,+2.7251307E+00,+621.5559E-03,+878.5133E-03
-4.5843000E+00,+2.7251307E+00,+590.2561E-03,+766.8842E-03
-4.5841500E+00,+2.7669796E+00,+613.0284E-03,+739.0167E-03
-4.5840000E+00,+2.7195413E+00,+618.7134E-03,+599.5202E-03
-4.5838500E+00,+2.7502432E+00,+632.9420E-03,+850.6458E-03
-4.5837000E+00,+2.7307042E+00,+621.5559E-03,+766.8842E-03
-4.5835500E+00,+2.7251307E+00,+604.4847E-03,+878.5133E-03
-4.5834000E+00,+2.7390803E+00,+615.8709E-03,+766.8842E-03
-4.5832500E+00,+2.7279174E+00,+590.2561E-03,+739.0167E-03
-4.5831000E+00,+2.7251307E+00,+627.2571E-03,+739.0167E-03
-4.5829500E+00,+2.7390803E+00,+635.7845E-03,+878.5133E-03
-4.5828000E+00,+2.7558167E+00,+635.7845E-03,+766.8842E-03
-4.5826500E+00,+2.7446538E+00,+621.5559E-03,+599.5202E-03
-4.5825000E+00,+2.7418671E+00,+618.7134E-03,+850.6458E-03
-4.5823500E+00,+2.7418671E+00,+618.7134E-03,+906.3807E-03
-4.5822000E+00,+2.7418671E+00,+661.3993E-03,+1.0458773E+00
-4.5820500E+00,+2.7418671E+00,+598.7835E-03,+655.2551E-03
-4.5819000E+00,+2.7418671E+00,+613.0284E-03,+850.6458E-03
-4.5817500E+00,+2.7418671E+00,+618.7134E-03,+906.3807E-03
-4.5816000E+00,+2.7000181E+00,+618.7134E-03,+766.8842E-03
-4.5814500E+00,+2.7474565E+00,+618.7134E-03,+878.5133E-03
-4.5813000E+00,+2.7446538E+00,+618.7134E-03,+906.3807E-03
-4.5811500E+00,+2.7139678E+00,+618.7134E-03,+766.8842E-03
-4.5810000E+00,+2.7223439E+00,+632.9420E-03,+878.5133E-03
-4.5808500E+00,+2.7390803E+00,+621.5559E-03,+766.8842E-03
-4.5806999E+00,+2.7558167E+00,+604.4847E-03,+878.5133E-03
-4.5805499E+00,+2.7307042E+00,+601.6423E-03,+766.8842E-03
-4.5803999E+00,+2.7251307E+00,+558.9563E-03,+599.5202E-03
-4.5802499E+00,+2.7390803E+00,+607.3435E-03,+990.1424E-03
-4.5800999E+00,+2.7279174E+00,+604.4847E-03,+794.7516E-03
-4.5799499E+00,+2.7390803E+00,+630.0996E-03,+739.0167E-03
-4.5797999E+00,+2.7279174E+00,+578.8699E-03,+739.0167E-03
-4.5796499E+00,+2.7251307E+00,+610.1859E-03,+599.5202E-03
-4.5794999E+00,+2.7390803E+00,+632.9420E-03,+711.1492E-03
-4.5793499E+00,+2.7279174E+00,+621.5559E-03,+878.5133E-03
-4.5791999E+00,+2.7251307E+00,+604.4847E-03,+766.8842E-03
-4.5790499E+00,+2.7111810E+00,+601.6423E-03,+739.0167E-03
-4.5788999E+00,+2.7223439E+00,+615.8709E-03,+878.5133E-03
-4.5787499E+00,+2.7251307E+00,+618.7134E-03,+766.8842E-03
-4.5785999E+00,+2.7111810E+00,+590.2561E-03,+878.5133E-03
-4.5784499E+00,+2.7223439E+00,+598.7998E-03,+1.0458773E+00
-4.5782999E+00,+2.7111810E+00,+573.1850E-03,+515.7585E-03
-4.5781499E+00,+2.7083943E+00,+595.9573E-03,+543.7852E-03
-4.5779999E+00,+2.7083943E+00,+587.4136E-03,+711.1493E-03
-4.5778499E+00,+2.6944446E+00,+598.7998E-03,+739.0167E-03
-4.5776999E+00,+2.7474565E+00,+630.0996E-03,+739.0167E-03
-4.5775499E+00,+2.7307042E+00,+621.5559E-03,+599.5202E-03
