x-axis,1KHZ,2,3
-155.000000E-03,+1.022358790E+00,+652.855644E-03,+1.056276124E+00
-154.995024E-03,+1.005622389E+00,+652.855644E-03,+1.022803321E+00
-154.990048E-03,+972.149586E-03,+652.855644E-03,+1.022803321E+00
-154.985072E-03,+988.885987E-03,+618.713385E-03,+1.022803322E+00
-154.980096E-03,+972.149587E-03,+635.784514E-03,+1.056276124E+00
-154.975120E-03,+1.022358790E+00,+618.713385E-03,+1.089748926E+00
-154.970144E-03,+1.005622388E+00,+652.855644E-03,+1.089748926E+00
-154.965168E-03,+972.149586E-03,+652.855644E-03,+1.056276123E+00
-154.960192E-03,+972.149587E-03,+635.784514E-03,+1.022803323E+00
-154.955216E-03,+988.885988E-03,+635.784513E-03,+1.089748926E+00
-154.950240E-03,+988.885987E-03,+601.642256E-03,+1.089748926E+00
-154.945264E-03,+972.149587E-03,+635.784514E-03,+1.089748926E+00
-154.940288E-03,+988.885988E-03,+635.784514E-03,+1.056276125E+00
-154.935312E-03,+988.885988E-03,+618.713384E-03,+1.089748924E+00
-154.930336E-03,+988.885988E-03,+618.713386E-03,+1.022803321E+00
-154.925360E-03,+1.005622388E+00,+652.855643E-03,+1.022803324E+00
-154.920384E-03,+988.885986E-03,+618.713386E-03,+1.089748925E+00
-154.915408E-03,+955.413187E-03,+652.855643E-03,+1.056276123E+00
-154.910432E-03,+1.005622389E+00,+635.784515E-03,+1.022803323E+00
-154.905456E-03,+1.005622389E+00,+652.855642E-03,+1.056276122E+00
-154.900480E-03,+1.005622388E+00,+618.713384E-03,+1.022803323E+00
-154.895504E-03,+988.885987E-03,+618.713385E-03,+1.056276122E+00
-154.890528E-03,+972.149586E-03,+635.784513E-03,+1.022803325E+00
-154.885552E-03,+972.149588E-03,+618.713384E-03,+1.089748923E+00
-154.880576E-03,+1.005622388E+00,+618.713384E-03,+1.022803326E+00
-154.875600E-03,+988.885988E-03,+618.713384E-03,+1.089748922E+00
-154.870624E-03,+988.885988E-03,+618.713389E-03,+1.022803324E+00
-154.865648E-03,+988.885989E-03,+686.997900E-03,+1.056276126E+00
-154.860672E-03,+1.005622388E+00,+635.784513E-03,+1.089748924E+00
-154.855696E-03,+988.885988E-03,+618.713384E-03,+1.056276124E+00
-154.850720E-03,+988.885986E-03,+618.713384E-03,+1.056276127E+00
-154.845744E-03,+972.149589E-03,+618.713386E-03,+1.089748921E+00
-154.840768E-03,+1.005622387E+00,+635.784510E-03,+1.022803321E+00
-154.835792E-03,+988.885986E-03,+584.571129E-03,+1.022803324E+00
-154.830816E-03,+972.149586E-03,+635.784513E-03,+1.056276124E+00
-154.825840E-03,+972.149585E-03,+618.713386E-03,+1.056276127E+00
-154.820864E-03,+955.413188E-03,+635.784511E-03,+1.089748923E+00
-154.815888E-03,+988.885988E-03,+601.642253E-03,+1.056276124E+00
-154.810912E-03,+988.885991E-03,+584.571130E-03,+1.056276121E+00
-154.805936E-03,+1.022358785E+00,+635.784513E-03,+1.022803318E+00
-154.800960E-03,+972.149585E-03,+618.713390E-03,+989.330522E-03
-154.795984E-03,+955.413189E-03,+669.926772E-03,+1.022803321E+00
-154.791008E-03,+988.885986E-03,+652.855642E-03,+1.022803325E+00
-154.786032E-03,+972.149588E-03,+635.784512E-03,+1.056276120E+00
-154.781056E-03,+988.885984E-03,+618.713383E-03,+1.022803321E+00
-154.776080E-03,+955.413191E-03,+601.642261E-03,+1.022803333E+00
-154.771104E-03,+1.005622389E+00,+652.855644E-03,+1.123221721E+00
-154.766128E-03,+1.005622385E+00,+652.855638E-03,+1.056276120E+00
-154.761152E-03,+972.149586E-03,+601.642261E-03,+1.022803326E+00
-154.756176E-03,+972.149586E-03,+652.855640E-03,+1.056276116E+00
-154.751200E-03,+972.149588E-03,+618.713389E-03,+989.330527E-03
-154.746224E-03,+988.885983E-03,+652.855640E-03,+1.056276124E+00
-154.741248E-03,+955.413187E-03,+618.713387E-03,+1.056276124E+00
-154.736272E-03,+972.149582E-03,+635.784517E-03,+1.056276124E+00
-154.731296E-03,+938.676786E-03,+652.855644E-03,+1.056276124E+00
-154.726320E-03,+955.413183E-03,+652.855644E-03,+1.056276129E+00
-154.721344E-03,+938.676789E-03,+652.855642E-03,+1.089748912E+00
-154.716368E-03,+972.149589E-03,+635.784519E-03,+989.330529E-03
-154.711392E-03,+988.885988E-03,+669.926766E-03,+1.056276129E+00
-154.706416E-03,+988.885988E-03,+618.713382E-03,+1.089748921E+00
-154.701440E-03,+988.885985E-03,+601.642257E-03,+1.056276119E+00
-154.696464E-03,+972.149584E-03,+618.713387E-03,+1.022803332E+00
-154.691488E-03,+955.413185E-03,+635.784512E-03,+1.089748921E+00
-154.686512E-03,+955.413188E-03,+618.713387E-03,+1.056276124E+00
-154.681536E-03,+972.149584E-03,+635.784511E-03,+1.056276124E+00
-154.676560E-03,+955.413193E-03,+618.713382E-03,+1.056276124E+00
-154.671584E-03,+1.005622380E+00,+601.642252E-03,+1.056276124E+00
-154.666608E-03,+955.413188E-03,+584.571134E-03,+1.056276130E+00
-154.661632E-03,+972.149581E-03,+635.784514E-03,+1.089748915E+00
-154.656656E-03,+938.676793E-03,+635.784511E-03,+1.022803327E+00
-154.651680E-03,+988.885982E-03,+618.713388E-03,+1.056276118E+00
-154.646704E-03,+955.413191E-03,+635.784511E-03,+1.022803327E+00
-154.641728E-03,+988.885988E-03,+618.713388E-03,+1.056276112E+00
-154.636752E-03,+988.885981E-03,+635.784521E-03,+989.330525E-03
-154.631776E-03,+955.413191E-03,+669.926764E-03,+1.022803321E+00
-154.626800E-03,+988.885988E-03,+618.713384E-03,+1.022803328E+00
-154.621824E-03,+988.885984E-03,+618.713384E-03,+1.056276130E+00
-154.616848E-03,+972.149590E-03,+618.713381E-03,+1.089748926E+00
-154.611872E-03,+988.885984E-03,+601.642261E-03,+1.089748920E+00
-154.606896E-03,+972.149590E-03,+635.784511E-03,+1.056276137E+00
-154.601920E-03,+988.885988E-03,+618.713391E-03,+1.123221715E+00
-154.596944E-03,+988.885981E-03,+652.855641E-03,+1.056276117E+00
-154.591968E-03,+955.413189E-03,+635.784514E-03,+1.022803328E+00
-154.586992E-03,+972.149579E-03,+635.784507E-03,+1.056276131E+00
-154.582016E-03,+938.676791E-03,+601.642262E-03,+1.089748919E+00
-154.577040E-03,+972.149586E-03,+635.784511E-03,+1.056276124E+00
-154.572064E-03,+972.149594E-03,+618.713381E-03,+1.056276131E+00
-154.567088E-03,+1.005622374E+00,+601.642262E-03,+1.089748926E+00
-154.562112E-03,+938.676795E-03,+635.784514E-03,+1.089748912E+00
-154.557136E-03,+988.885988E-03,+635.784510E-03,+1.022803329E+00
-154.552160E-03,+988.885984E-03,+618.713392E-03,+1.056276124E+00
-154.547184E-03,+972.149586E-03,+652.855644E-03,+1.056276124E+00
-154.542208E-03,+972.149590E-03,+652.855636E-03,+1.056276116E+00
-154.537232E-03,+988.885984E-03,+618.713389E-03,+1.022803329E+00
-154.532256E-03,+972.149578E-03,+635.784510E-03,+1.056276132E+00
-154.527280E-03,+938.676800E-03,+618.713384E-03,+1.089748926E+00
-154.522304E-03,+1.005622381E+00,+618.713389E-03,+1.089748918E+00
-154.517328E-03,+972.149590E-03,+635.784506E-03,+1.056276124E+00
-154.512352E-03,+988.885988E-03,+601.642259E-03,+1.056276124E+00
-154.507376E-03,+988.885975E-03,+618.713384E-03,+1.056276107E+00
-154.502400E-03,+938.676797E-03,+618.713384E-03,+989.330527E-03
-154.497424E-03,+988.885983E-03,+618.713384E-03,+1.022803330E+00
-154.492448E-03,+972.149591E-03,+618.713380E-03,+1.056276124E+00
-154.487472E-03,+988.885979E-03,+601.642268E-03,+1.056276124E+00
-154.482496E-03,+955.413189E-03,+652.855640E-03,+1.056276115E+00
-154.477520E-03,+972.149586E-03,+635.784519E-03,+1.022803339E+00
-154.472544E-03,+972.149582E-03,+652.855635E-03,+1.089748926E+00
-154.467568E-03,+955.413199E-03,+618.713389E-03,+1.089748917E+00
-154.462592E-03,+1.005622380E+00,+635.784514E-03,+1.056276124E+00
-154.457616E-03,+972.149591E-03,+635.784510E-03,+1.056276133E+00
-154.452640E-03,+988.885978E-03,+618.713389E-03,+1.089748926E+00
-154.447664E-03,+955.413190E-03,+635.784505E-03,+1.089748917E+00
-154.442688E-03,+972.149586E-03,+601.642260E-03,+1.056276133E+00
-154.437712E-03,+972.149577E-03,+618.713389E-03,+1.089748898E+00
-154.432736E-03,+938.676789E-03,+635.784504E-03,+989.330529E-03
-154.427760E-03,+955.413195E-03,+601.642260E-03,+1.022803331E+00
-154.422784E-03,+988.885983E-03,+618.713374E-03,+1.056276114E+00
-154.417808E-03,+972.149581E-03,+584.571140E-03,+1.022803341E+00
-154.412832E-03,+955.413200E-03,+635.784509E-03,+1.089748916E+00
-154.407856E-03,+1.005622379E+00,+618.713395E-03,+1.056276134E+00
-154.402880E-03,+972.149586E-03,+652.855639E-03,+1.089748926E+00
-154.397904E-03,+972.149581E-03,+635.784519E-03,+1.089748916E+00
-154.392928E-03,+955.413195E-03,+652.855639E-03,+1.056276134E+00
