x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-4.6000000E+00,+1.9072960E+00,+994.2782E-03,+152.5105E-03
-4.5998500E+00,+1.8403504E+00,+1.0113494E+00,+219.4561E-03
-4.5997000E+00,+1.8403504E+00,+994.2782E-03,+219.4561E-03
-4.5995500E+00,+1.8403504E+00,+994.2782E-03,+252.9289E-03
-4.5994000E+00,+1.8570868E+00,+1.0113494E+00,+286.4017E-03
-4.5992500E+00,+1.8738232E+00,+1.0113494E+00,+185.9833E-03
-4.5991000E+00,+1.8738232E+00,+977.2071E-03,+252.9289E-03
-4.5989500E+00,+1.8570868E+00,+994.2782E-03,+286.4017E-03
-4.5988000E+00,+1.8738232E+00,+977.2071E-03,+185.9833E-03
-4.5986500E+00,+1.8738232E+00,+994.2782E-03,+185.9833E-03
-4.5985000E+00,+1.8570868E+00,+977.2071E-03,+185.9833E-03
-4.5983500E+00,+1.8738232E+00,+1.0284205E+00,+252.9289E-03
-4.5982000E+00,+1.8570868E+00,+1.0113494E+00,+252.9289E-03
-4.5980500E+00,+1.8570868E+00,+994.2782E-03,+252.9289E-03
-4.5979000E+00,+1.8738232E+00,+1.0113494E+00,+252.9289E-03
-4.5977500E+00,+1.8570868E+00,+977.2071E-03,+219.4561E-03
-4.5976000E+00,+1.8236140E+00,+1.0284205E+00,+252.9289E-03
-4.5974500E+00,+1.9072960E+00,+1.0284205E+00,+319.8745E-03
-4.5973000E+00,+1.8570868E+00,+1.0625628E+00,+185.9833E-03
-4.5971500E+00,+1.8738232E+00,+994.2782E-03,+219.4561E-03
-4.5970000E+00,+1.8738232E+00,+994.2782E-03,+252.9289E-03
-4.5968500E+00,+1.8403504E+00,+994.2782E-03,+252.9289E-03
-4.5967000E+00,+1.8570868E+00,+1.0113494E+00,+252.9289E-03
-4.5965500E+00,+1.8570868E+00,+1.0113494E+00,+252.9289E-03
-4.5964000E+00,+1.8570868E+00,+1.0284205E+00,+252.9289E-03
-4.5962500E+00,+1.8738232E+00,+994.2782E-03,+286.4017E-03
-4.5961000E+00,+1.8738232E+00,+1.0113494E+00,+152.5105E-03
-4.5959500E+00,+1.8738232E+00,+1.0113494E+00,+252.9289E-03
-4.5958000E+00,+1.8905596E+00,+1.0113494E+00,+185.9833E-03
-4.5956500E+00,+1.8738232E+00,+1.0284205E+00,+119.0377E-03
-4.5955000E+00,+1.8905596E+00,+977.2071E-03,+319.8745E-03
-4.5953500E+00,+1.8570868E+00,+1.0113494E+00,+219.4561E-03
-4.5952000E+00,+1.8738232E+00,+994.2782E-03,+219.4561E-03
-4.5950500E+00,+1.8905596E+00,+1.0284205E+00,+252.9289E-03
-4.5949000E+00,+1.8738232E+00,+994.2782E-03,+219.4561E-03
-4.5947500E+00,+1.8905596E+00,+994.2782E-03,+185.9833E-03
-4.5946000E+00,+1.8570868E+00,+1.0284205E+00,+252.9289E-03
-4.5944500E+00,+1.8738232E+00,+1.0113494E+00,+252.9289E-03
-4.5943000E+00,+1.8738232E+00,+1.0113494E+00,+152.5105E-03
-4.5941500E+00,+1.8738232E+00,+1.0113494E+00,+252.9289E-03
-4.5940000E+00,+1.8738232E+00,+1.0113494E+00,+286.4017E-03
-4.5938500E+00,+1.8738232E+00,+994.2782E-03,+286.4017E-03
-4.5937000E+00,+1.8738232E+00,+1.0113494E+00,+252.9289E-03
-4.5935500E+00,+1.8570868E+00,+994.2782E-03,+252.9289E-03
-4.5934000E+00,+1.8570868E+00,+994.2782E-03,+119.0377E-03
-4.5932500E+00,+1.8570868E+00,+1.0113494E+00,+185.9833E-03
-4.5931000E+00,+1.8570868E+00,+1.0284205E+00,+219.4561E-03
-4.5929500E+00,+1.8905596E+00,+994.2782E-03,+152.5105E-03
-4.5928000E+00,+1.8738232E+00,+1.0113494E+00,+185.9833E-03
-4.5926500E+00,+1.8738232E+00,+1.0113494E+00,+219.4561E-03
-4.5925000E+00,+1.8570868E+00,+1.0284205E+00,+185.9833E-03
-4.5923500E+00,+1.8905596E+00,+1.0113494E+00,+252.9289E-03
-4.5922000E+00,+1.8570868E+00,+977.2071E-03,+185.9833E-03
-4.5920500E+00,+1.8403504E+00,+1.0113494E+00,+219.4561E-03
-4.5919000E+00,+1.8738232E+00,+977.2071E-03,+219.4561E-03
-4.5917500E+00,+1.8738232E+00,+1.0284205E+00,+185.9833E-03
-4.5916000E+00,+1.8570868E+00,+1.0113494E+00,+185.9833E-03
-4.5914500E+00,+1.8738232E+00,+1.0284205E+00,+252.9289E-03
-4.5913000E+00,+1.8403504E+00,+977.2071E-03,+219.4561E-03
-4.5911500E+00,+1.8570868E+00,+977.2071E-03,+252.9289E-03
-4.5910000E+00,+1.8570868E+00,+960.1360E-03,+252.9289E-03
-4.5908500E+00,+1.8570868E+00,+977.2071E-03,+219.4561E-03
-4.5906999E+00,+1.8403504E+00,+1.0113494E+00,+185.9833E-03
-4.5905499E+00,+1.8738232E+00,+1.0113494E+00,+219.4561E-03
-4.5903999E+00,+1.8570868E+00,+1.0113494E+00,+286.4017E-03
-4.5902499E+00,+1.8570868E+00,+1.0113494E+00,+185.9833E-03
-4.5900999E+00,+1.8570868E+00,+994.2782E-03,+219.4561E-03
-4.5899499E+00,+1.8905596E+00,+994.2782E-03,+286.4017E-03
-4.5897999E+00,+1.8738232E+00,+960.1360E-03,+286.4017E-03
-4.5896499E+00,+1.8570868E+00,+994.2782E-03,+252.9289E-03
-4.5894999E+00,+1.8570868E+00,+1.0284205E+00,+252.9289E-03
-4.5893499E+00,+1.8403504E+00,+1.0113494E+00,+286.4017E-03
-4.5891999E+00,+1.8738232E+00,+1.0284205E+00,+252.9289E-03
-4.5890499E+00,+1.8403504E+00,+960.1360E-03,+219.4561E-03
-4.5888999E+00,+1.8738232E+00,+1.0113494E+00,+185.9833E-03
-4.5887499E+00,+1.8738232E+00,+1.0113494E+00,+219.4561E-03
-4.5885999E+00,+1.8570868E+00,+994.2782E-03,+219.4561E-03
-4.5884499E+00,+1.8570868E+00,+994.2782E-03,+185.9833E-03
-4.5882999E+00,+1.8738232E+00,+994.2782E-03,+185.9833E-03
-4.5881499E+00,+1.8738232E+00,+1.0113494E+00,+152.5105E-03
-4.5879999E+00,+1.8738232E+00,+994.2782E-03,+185.9833E-03
-4.5878499E+00,+1.8570868E+00,+994.2782E-03,+219.4561E-03
