x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-4.6200000E+00,,,
-4.6198500E+00,,,
-4.6197000E+00,,,
-4.6195500E+00,,,
-4.6194000E+00,,,
-4.6192500E+00,,,
-4.6191000E+00,,,
-4.6189500E+00,,,
-4.6188000E+00,,,
-4.6186500E+00,,,
-4.6185000E+00,,,
-4.6183500E+00,,,
-4.6182000E+00,,,
-4.6180500E+00,,,
-4.6179000E+00,,,
-4.6177500E+00,,,
-4.6176000E+00,,,
-4.6174500E+00,,,
-4.6173000E+00,,,
-4.6171500E+00,,,
-4.6170000E+00,,,
-4.6168500E+00,,,
-4.6167000E+00,,,
-4.6165500E+00,,,
-4.6164000E+00,,,
-4.6162500E+00,,,
-4.6161000E+00,,,
-4.6159500E+00,,,
-4.6158000E+00,,,
-4.6156500E+00,,,
-4.6155000E+00,,,
-4.6153500E+00,,,
-4.6152000E+00,,,
-4.6150500E+00,,,
-4.6149000E+00,,,
-4.6147500E+00,,,
-4.6146000E+00,,,
-4.6144500E+00,+1.8809296E+00,+985.7462E-03,-31.5831E-03
-4.6143000E+00,+1.8742350E+00,+1.0028173E+00,+1.8897E-03
-4.6141500E+00,+1.8742377E+00,+1.0198884E+00,+18.6192E-03
-4.6140000E+00,+1.8809323E+00,+1.0198815E+00,+18.6192E-03
-4.6138500E+00,+1.8775809E+00,+1.0198884E+00,+1.8760E-03
-4.6137000E+00,+1.8742377E+00,+1.0113424E+00,+1.8897E-03
-4.6135500E+00,+1.8742350E+00,+985.7392E-03,+18.6192E-03
-4.6134000E+00,+1.8708891E+00,+1.0028242E+00,+18.6192E-03
-4.6132500E+00,+1.8809350E+00,+1.0113424E+00,+35.3625E-03
-4.6131000E+00,+1.8809268E+00,+985.7392E-03,+18.6056E-03
-4.6129500E+00,+1.8708891E+00,+994.2852E-03,-14.8536E-03
-4.6128000E+00,+1.8675404E+00,+1.0028103E+00,+1.8897E-03
-4.6126500E+00,+1.8641945E+00,+994.2782E-03,+35.3625E-03
-4.6125000E+00,+1.8675432E+00,+1.0028173E+00,+1.8624E-03
-4.6123500E+00,+1.8675404E+00,+1.0028103E+00,-14.8399E-03
-4.6122000E+00,+1.8675432E+00,+1.0028173E+00,-31.6104E-03
-4.6120500E+00,+1.8675404E+00,+1.0113494E+00,-48.3127E-03
-4.6119000E+00,+1.8675432E+00,+1.0284275E+00,+18.6329E-03
-4.6117500E+00,+1.8675404E+00,+1.0454916E+00,+18.6056E-03
-4.6116000E+00,+1.8675432E+00,+1.0113355E+00,-14.8536E-03
-4.6114500E+00,+1.8675404E+00,+1.0028242E+00,+1.8897E-03
-4.6113000E+00,+1.8641945E+00,+1.0028034E+00,+1.8760E-03
-4.6111500E+00,+1.8608459E+00,+994.2852E-03,+1.8897E-03
-4.6110000E+00,+1.8608486E+00,+1.0198884E+00,+35.3625E-03
-4.6108500E+00,+1.8641945E+00,+1.0113424E+00,+35.3488E-03
-4.6106999E+00,+1.8675432E+00,+1.0028173E+00,+35.3625E-03
-4.6105499E+00,+1.8675404E+00,+1.0113494E+00,+18.6056E-03
-4.6103999E+00,+1.8675432E+00,+1.0198884E+00,-14.8536E-03
-4.6102499E+00,+1.8675404E+00,+1.0284205E+00,+18.6329E-03
-4.6100999E+00,+1.8675432E+00,+1.0113424E+00,+35.3488E-03
-4.6099499E+00,+1.8675404E+00,+1.0113563E+00,+1.8760E-03
-4.6097999E+00,+1.8641945E+00,+1.0028034E+00,+18.6329E-03
-4.6096499E+00,+1.8608459E+00,+977.2071E-03,+52.0920E-03
-4.6094999E+00,+1.8608486E+00,+985.7462E-03,+1.8624E-03
-4.6093499E+00,+1.8675432E+00,+985.7392E-03,-14.8399E-03
-4.6091999E+00,+1.8675404E+00,+1.0028242E+00,+1.8760E-03
-4.6090499E+00,+1.8675432E+00,+1.0198815E+00,-14.8536E-03
-4.6088999E+00,+1.8675404E+00,+1.0113494E+00,-14.8536E-03
-4.6087499E+00,+1.8641945E+00,+985.7322E-03,-31.5968E-03
-4.6085999E+00,+1.8675432E+00,+977.2141E-03,-14.8399E-03
-4.6084499E+00,+1.8708891E+00,+985.7392E-03,+18.6192E-03
-4.6082999E+00,+1.8708891E+00,+1.0028242E+00,-14.8672E-03
-4.6081499E+00,+1.8708891E+00,+1.0198815E+00,+1.9033E-03
-4.6079999E+00,+1.8708891E+00,+994.2713E-03,+35.3488E-03
-4.6078499E+00,+1.8708891E+00,+977.2071E-03,+18.6192E-03
-4.6076999E+00,+1.8708891E+00,+994.2852E-03,+35.3625E-03
-4.6075499E+00,+1.8675404E+00,+1.0113494E+00,+35.3488E-03
-4.6073999E+00,+1.8675432E+00,+1.0113494E+00,-14.8672E-03
-4.6072499E+00,+1.8675404E+00,+994.2713E-03,-14.8399E-03
-4.6070999E+00,+1.8675432E+00,+1.0113633E+00,+18.6192E-03
-4.6069499E+00,+1.8675404E+00,+1.0284135E+00,+35.3625E-03
-4.6067999E+00,+1.8675432E+00,+1.0113494E+00,+52.0920E-03
-4.6066499E+00,+1.8708891E+00,+1.0198884E+00,+35.3488E-03
-4.6064999E+00,+1.8675404E+00,+1.0113424E+00,+18.6192E-03
-4.6063499E+00,+1.8675432E+00,+1.0028173E+00,+1.8760E-03
-4.6061999E+00,+1.8708891E+00,+1.0113494E+00,+18.6329E-03
-4.6060499E+00,+1.8708891E+00,+994.2713E-03,+52.0920E-03
-4.6058999E+00,+1.8675404E+00,+985.7462E-03,+1.8624E-03
-4.6057499E+00,+1.8675432E+00,+1.0113563E+00,-14.8399E-03
-4.6055999E+00,+1.8742377E+00,+1.0284205E+00,+35.3625E-03
-4.6054499E+00,+1.8742350E+00,+1.0198815E+00,+1.8624E-03
-4.6052999E+00,+1.8742377E+00,+1.0198884E+00,+1.9033E-03
-4.6051499E+00,+1.8742350E+00,+1.0113424E+00,+35.3488E-03
-4.6049999E+00,+1.8708891E+00,+994.2782E-03,+35.3625E-03
-4.6048499E+00,+1.8675404E+00,+1.0028173E+00,+18.6056E-03
-4.6046999E+00,+1.8675432E+00,+1.0113494E+00,-31.5968E-03
-4.6045499E+00,+1.8708891E+00,+1.0028103E+00,-14.8399E-03
-4.6043999E+00,+1.8742377E+00,+1.0028173E+00,+35.3625E-03
-4.6042499E+00,+1.8742350E+00,+1.0198884E+00,+52.0920E-03
-4.6040999E+00,+1.8708891E+00,+1.0198815E+00,+18.6056E-03
-4.6039499E+00,+1.8675404E+00,+985.7322E-03,-31.5968E-03
-4.6037999E+00,+1.8641945E+00,+985.7531E-03,-14.8399E-03
-4.6036499E+00,+1.8641945E+00,+1.0198884E+00,+18.6192E-03
-4.6034999E+00,+1.8675432E+00,+1.0284205E+00,+18.6192E-03
-4.6033499E+00,+1.8675404E+00,+1.0113424E+00,+18.6192E-03
-4.6031999E+00,+1.8675432E+00,+1.0028173E+00,+18.6192E-03
-4.6030499E+00,+1.8742377E+00,+1.0028103E+00,+35.3625E-03
-4.6028999E+00,+1.8708863E+00,+994.2782E-03,+1.8624E-03
-4.6027499E+00,+1.8708918E+00,+994.2782E-03,-14.8399E-03
-4.6025999E+00,+1.8708863E+00,+1.0028173E+00,+1.8760E-03
-4.6024499E+00,+1.8641945E+00,+1.0028103E+00,-14.8536E-03
-4.6022999E+00,+1.8708918E+00,+994.2782E-03,+1.8897E-03
-4.6021499E+00,+1.8742350E+00,+1.0028173E+00,+18.6192E-03
-4.6019999E+00,+1.8708891E+00,+1.0113494E+00,+18.6192E-03
-4.6018499E+00,+1.8708891E+00,+1.0028103E+00,+1.8760E-03
-4.6016999E+00,+1.8708891E+00,+994.2782E-03,-14.8536E-03
-4.6015499E+00,+1.8708891E+00,+994.2782E-03,+1.8897E-03
-4.6013999E+00,+1.8641918E+00,+985.7392E-03,+18.6192E-03
-4.6012499E+00,+1.8608486E+00,+1.0028242E+00,+18.6192E-03
-4.6010999E+00,+1.8675432E+00,+1.0198815E+00,+1.8760E-03
-4.6009499E+00,+1.8708891E+00,+1.0028103E+00,-14.8536E-03
-4.6007999E+00,+1.8708891E+00,+994.2782E-03,+1.8897E-03
-4.6006499E+00,+1.8775864E+00,+994.2782E-03,+18.6192E-03
-4.6004999E+00,+1.8842782E+00,+1.0113563E+00,+35.3625E-03
-4.6003499E+00,+1.8809296E+00,+1.0284205E+00,+52.0920E-03
-4.6001999E+00,+1.8742350E+00,+1.0198815E+00,+52.0920E-03
-4.6000499E+00,+1.8742377E+00,+994.2713E-03,+35.3488E-03
-4.5998999E+00,+1.8809323E+00,+1.0113633E+00,+1.8760E-03
-4.5997499E+00,+1.8809296E+00,+1.0369526E+00,+1.8897E-03
-4.5995999E+00,+1.8809323E+00,+1.0284205E+00,+1.8760E-03
-4.5994499E+00,+1.8842782E+00,+1.0284205E+00,+1.8897E-03
-4.5992999E+00,+1.8809296E+00,+1.0198815E+00,+18.6192E-03
-4.5991499E+00,+1.8842809E+00,+1.0113494E+00,+35.3625E-03
-4.5989999E+00,+1.8876241E+00,+1.0113494E+00,+1.8624E-03
-4.5988499E+00,+1.8809296E+00,+1.0113494E+00,-48.3264E-03
-4.5986999E+00,+1.8775836E+00,+1.0028103E+00,-14.8399E-03
-4.5985499E+00,+1.8842809E+00,+1.0284344E+00,+18.6192E-03
-4.5983999E+00,+1.8842755E+00,+1.0284066E+00,+1.8760E-03
-4.5982499E+00,+1.8809323E+00,+1.0028173E+00,+1.8897E-03
-4.5980999E+00,+1.8876268E+00,+1.0284275E+00,+18.6192E-03
-4.5979499E+00,+1.8909728E+00,+1.0284135E+00,+1.8760E-03
