x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-235.000000E-03,+77.503215E-03,+38.294973E-03,-1.253347248E+00
-234.993104E-03,+34.372785E-03,+49.522729E-03,-1.253347248E+00
-234.986208E-03,+44.030417E-03,+44.138346E-03,-1.253347248E+00
-234.979312E-03,+66.945605E-03,+38.294973E-03,-1.253347248E+00
-234.972416E-03,+66.945605E-03,+15.839457E-03,-1.253347248E+00
-234.965519E-03,+44.930393E-03,+15.380472E-03,-1.319392885E+00
-234.958623E-03,+33.472802E-03,+9.996084E-03,-1.287720015E+00
-234.951727E-03,+33.472802E-03,+15.380473E-03,-1.275362463E+00
-234.944831E-03,-10.557629E-03,+43.679364E-03,-1.286820050E+00
-234.937935E-03,+32.572849E-03,+55.366103E-03,-1.286820050E+00
-234.931039E-03,+22.915168E-03,+55.366103E-03,-1.330850487E+00
-234.924143E-03,+22.015220E-03,+55.366103E-03,-1.309735216E+00
-234.917247E-03,+33.472802E-03,+44.138340E-03,-1.286820050E+00
-234.910351E-03,+33.472802E-03,+38.294973E-03,-1.308835272E+00
-234.903454E-03,+55.488026E-03,+38.294973E-03,-1.320292853E+00
-234.896558E-03,+66.945605E-03,+15.839443E-03,-1.276262404E+00
-234.889662E-03,+66.945605E-03,+4.152713E-03,-1.275362473E+00
-234.882766E-03,+44.930378E-03,+26.608245E-03,-1.286820050E+00
-234.875870E-03,+33.472802E-03,+27.067206E-03,-1.242789594E+00
-234.868974E-03,+11.457573E-03,+32.451610E-03,-1.285920133E+00
-234.862078E-03,+44.030461E-03,+38.294973E-03,-1.298277622E+00
-234.855182E-03,+110.976068E-03,+60.750510E-03,-1.242789587E+00
-234.848286E-03,+67.845511E-03,+49.981694E-03,-1.241889678E+00
-234.841389E-03,+55.488037E-03,+38.294973E-03,-1.275362482E+00
-234.834493E-03,+110.976076E-03,+38.294973E-03,-1.308835286E+00
-234.827597E-03,+67.845500E-03,+38.294973E-03,-1.276262380E+00
-234.820701E-03,+77.503278E-03,+60.750516E-03,-1.275362486E+00
-234.813805E-03,+100.418407E-03,+61.209460E-03,-1.264804811E+00
-234.806909E-03,+78.403167E-03,+32.910557E-03,-1.253347248E+00
-234.800013E-03,+88.960846E-03,+54.907163E-03,-1.253347248E+00
-234.793117E-03,+78.403165E-03,+72.437232E-03,-1.297377733E+00
-234.786221E-03,+44.930361E-03,+72.437232E-03,-1.298277609E+00
-234.779325E-03,+33.472802E-03,+83.665008E-03,-1.308835295E+00
-234.772428E-03,+77.503295E-03,+67.052810E-03,-1.320292853E+00
-234.765532E-03,+12.357418E-03,+21.682773E-03,-1.276262358E+00
-234.758636E-03,+32.572943E-03,+15.380490E-03,-1.297377745E+00
-234.751740E-03,+88.960855E-03,+21.223843E-03,-1.320292853E+00
-234.744844E-03,+56.387905E-03,+32.451621E-03,-1.320292853E+00
-234.737948E-03,+11.457550E-03,+38.294973E-03,-1.320292853E+00
-234.731052E-03,+66.045760E-03,+27.067193E-03,-1.298277599E+00
-234.724156E-03,+78.403153E-03,+32.451623E-03,-1.308835305E+00
-234.717260E-03,+44.930349E-03,+49.522754E-03,-1.298277597E+00
-234.710363E-03,+55.488060E-03,+44.138321E-03,-1.308835307E+00
-234.703467E-03,+44.930347E-03,+60.750537E-03,-1.320292853E+00
-234.696571E-03,+33.472802E-03,+72.437232E-03,-1.254247074E+00
-234.689675E-03,+55.488063E-03,+49.981666E-03,-1.241889706E+00
-234.682779E-03,+66.945605E-03,+38.294973E-03,-1.275362510E+00
-234.675883E-03,+66.945605E-03,+38.294973E-03,-1.286820050E+00
-234.668987E-03,+44.930341E-03,+49.522758E-03,-1.264804786E+00
-234.662091E-03,+33.472802E-03,+55.366103E-03,-1.297377779E+00
-234.655195E-03,+55.488069E-03,+44.138316E-03,-1.276262319E+00
-234.648298E-03,+66.945605E-03,+60.750547E-03,-1.297377784E+00
-234.641402E-03,+44.930336E-03,+38.753870E-03,-1.276262315E+00
-234.634506E-03,+55.488073E-03,+32.451631E-03,-1.253347248E+00
-234.627610E-03,+44.930333E-03,+27.067184E-03,-1.275362519E+00
-234.620714E-03,+11.457530E-03,+43.679422E-03,-1.286820050E+00
