x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-195.000000E-03,+802.693537E-03,+465.073217E-03,-148.744766E-03
-194.993696E-03,+836.166339E-03,+430.930958E-03,-115.271964E-03
-194.987392E-03,+852.902740E-03,+482.144347E-03,-148.744765E-03
-194.981088E-03,+836.166338E-03,+499.215474E-03,-115.271964E-03
-194.974784E-03,+819.429938E-03,+448.002089E-03,-148.744762E-03
-194.968480E-03,+819.429940E-03,+482.144348E-03,-81.799161E-03
-194.962176E-03,+852.902738E-03,+499.215474E-03,-81.799161E-03
-194.955872E-03,+819.429941E-03,+465.073215E-03,-81.799161E-03
-194.949568E-03,+852.902737E-03,+448.002089E-03,-81.799167E-03
-194.943264E-03,+819.429938E-03,+465.073211E-03,-148.744769E-03
-194.936960E-03,+819.429942E-03,+413.859832E-03,-182.217556E-03
-194.930655E-03,+852.902736E-03,+448.002089E-03,-81.799165E-03
-194.924351E-03,+819.429940E-03,+465.073219E-03,-115.271968E-03
-194.918047E-03,+836.166342E-03,+482.144336E-03,-148.744760E-03
-194.911743E-03,+852.902737E-03,+413.859833E-03,-115.271952E-03
-194.905439E-03,+836.166339E-03,+448.002081E-03,-48.326364E-03
-194.899135E-03,+836.166339E-03,+413.859837E-03,-81.799167E-03
-194.892831E-03,+836.166336E-03,+465.073213E-03,-115.271963E-03
-194.886527E-03,+819.429945E-03,+448.002083E-03,-115.271956E-03
-194.880223E-03,+852.902736E-03,+430.930961E-03,-81.799168E-03
-194.873919E-03,+836.166343E-03,+448.002087E-03,-115.271955E-03
-194.867615E-03,+852.902732E-03,+448.002087E-03,-81.799169E-03
-194.861311E-03,+819.429947E-03,+448.002087E-03,-115.271963E-03
-194.855007E-03,+852.902736E-03,+448.002092E-03,-115.271963E-03
-194.848703E-03,+836.166339E-03,+465.073222E-03,-115.271963E-03
-194.842399E-03,+836.166344E-03,+482.144341E-03,-115.271953E-03
-194.836095E-03,+852.902746E-03,+465.073206E-03,-81.799171E-03
-194.829791E-03,+869.639125E-03,+430.930963E-03,-115.271974E-03
-194.823487E-03,+819.429938E-03,+448.002087E-03,-148.744754E-03
-194.817183E-03,+819.429938E-03,+448.002081E-03,-115.271963E-03
-194.810879E-03,+819.429950E-03,+430.930951E-03,-115.271963E-03
-194.804574E-03,+852.902734E-03,+413.859847E-03,-115.271963E-03
-194.798270E-03,+836.166339E-03,+465.073210E-03,-115.271963E-03
-194.791966E-03,+836.166346E-03,+448.002087E-03,-115.271963E-03
-194.785662E-03,+852.902740E-03,+448.002073E-03,-115.271949E-03
-194.779358E-03,+852.902712E-03,+413.859827E-03,-81.799189E-03
-194.773054E-03,+785.957150E-03,+413.859850E-03,-148.744751E-03
-194.766750E-03,+819.429945E-03,+465.073201E-03,-115.271948E-03
-194.760446E-03,+836.166331E-03,+430.930957E-03,-81.799176E-03
-194.754142E-03,+819.429946E-03,+430.930965E-03,-115.271979E-03
-194.747838E-03,+836.166331E-03,+448.002079E-03,-148.744733E-03
-194.741534E-03,+819.429938E-03,+430.930966E-03,-81.799177E-03
-194.735230E-03,+819.429938E-03,+448.002069E-03,-115.271963E-03
-194.728926E-03,+819.429955E-03,+413.859845E-03,-115.271981E-03
-194.722622E-03,+852.902731E-03,+448.002096E-03,-148.744730E-03
-194.716318E-03,+836.166339E-03,+465.073198E-03,-81.799179E-03
-194.710014E-03,+836.166320E-03,+430.930957E-03,-115.271944E-03
-194.703710E-03,+802.693537E-03,+430.930977E-03,-81.799161E-03
-194.697406E-03,+802.693546E-03,+465.073237E-03,-81.799161E-03
-194.691102E-03,+819.429958E-03,+499.215435E-03,-81.799141E-03
-194.684798E-03,+852.902740E-03,+430.930957E-03,-48.326379E-03
-194.678493E-03,+852.902709E-03,+430.930957E-03,-81.799202E-03
-194.672189E-03,+802.693537E-03,+430.930968E-03,-148.744723E-03
-194.665885E-03,+802.693547E-03,+448.002098E-03,-81.799204E-03
-194.659581E-03,+819.429927E-03,+465.073217E-03,-148.744700E-03
-194.653277E-03,+802.693548E-03,+465.073205E-03,-48.326403E-03
-194.646973E-03,+819.429938E-03,+448.002087E-03,-115.271918E-03
-194.640669E-03,+819.429915E-03,+448.002063E-03,-48.326405E-03
-194.634365E-03,+785.957183E-03,+413.859827E-03,-115.271963E-03
-194.628061E-03,+852.902728E-03,+413.859840E-03,-115.271963E-03
-194.621757E-03,+836.166327E-03,+430.930970E-03,-115.271914E-03
-194.615453E-03,+819.429963E-03,+448.002074E-03,-48.326433E-03
-194.609149E-03,+852.902702E-03,+430.930983E-03,-148.744715E-03
-194.602845E-03,+802.693588E-03,+465.073191E-03,-81.799135E-03
-194.596541E-03,+869.639102E-03,+430.930984E-03,-48.326384E-03
-194.590237E-03,+819.429951E-03,+465.073203E-03,-81.799187E-03
